127.0.0.1 - - [20/Apr/2022:13:10:42 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [20/Apr/2022:13:10:47 +0530] "GET /BusinessTripRequest/index.jsp HTTP/1.1" 200 1112
0:0:0:0:0:0:0:1 - - [20/Apr/2022:13:10:47 +0530] "GET /BusinessTripRequest/css/login_style.css HTTP/1.1" 200 1653
0:0:0:0:0:0:0:1 - - [20/Apr/2022:13:10:47 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [20/Apr/2022:13:11:14 +0530] "POST /BusinessTripRequest/login.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Apr/2022:13:11:17 +0530] "GET /BusinessTripRequest/user/user-personal-detail.jsp HTTP/1.1" 200 13524
0:0:0:0:0:0:0:1 - - [20/Apr/2022:13:11:17 +0530] "GET /BusinessTripRequest/css/bootstrap.min.css HTTP/1.1" 200 140427
0:0:0:0:0:0:0:1 - - [20/Apr/2022:13:11:17 +0530] "GET /BusinessTripRequest/css/sidebar-style.css HTTP/1.1" 200 3352
0:0:0:0:0:0:0:1 - - [20/Apr/2022:13:11:29 +0530] "GET /BusinessTripRequest/user/user-new-trip.jsp HTTP/1.1" 200 13909
0:0:0:0:0:0:0:1 - - [20/Apr/2022:13:11:44 +0530] "GET /BusinessTripRequest/user/user-pending-request.jsp HTTP/1.1" 200 4860
0:0:0:0:0:0:0:1 - - [20/Apr/2022:13:11:48 +0530] "GET /BusinessTripRequest/user/user-approved-request.jsp HTTP/1.1" 200 5988
0:0:0:0:0:0:0:1 - - [20/Apr/2022:13:11:55 +0530] "GET /BusinessTripRequest/user/user-trip-history.jsp HTTP/1.1" 200 6671
0:0:0:0:0:0:0:1 - - [20/Apr/2022:13:12:11 +0530] "GET /BusinessTripRequest/user/user-pending-request.jsp HTTP/1.1" 200 4860
0:0:0:0:0:0:0:1 - - [20/Apr/2022:13:12:12 +0530] "GET /BusinessTripRequest/user/user-new-trip.jsp HTTP/1.1" 200 13909
0:0:0:0:0:0:0:1 - - [20/Apr/2022:13:12:15 +0530] "GET /BusinessTripRequest/user/user-pending-request.jsp HTTP/1.1" 200 4860
0:0:0:0:0:0:0:1 - - [20/Apr/2022:13:12:20 +0530] "GET /BusinessTripRequest/user/user-new-trip.jsp HTTP/1.1" 200 13909
0:0:0:0:0:0:0:1 - - [20/Apr/2022:13:12:26 +0530] "GET /BusinessTripRequest/user/user-personal-detail.jsp HTTP/1.1" 200 13524
0:0:0:0:0:0:0:1 - - [20/Apr/2022:13:12:30 +0530] "GET /BusinessTripRequest/user/user-pending-request.jsp HTTP/1.1" 200 4860
0:0:0:0:0:0:0:1 - - [20/Apr/2022:13:12:33 +0530] "GET /BusinessTripRequest/user/user-approved-request.jsp HTTP/1.1" 200 5988
0:0:0:0:0:0:0:1 - - [20/Apr/2022:13:12:42 +0530] "GET /BusinessTripRequest/user/user-approved-request.jsp HTTP/1.1" 200 5988
0:0:0:0:0:0:0:1 - - [20/Apr/2022:13:12:42 +0530] "GET /BusinessTripRequest/css/bootstrap.min.css HTTP/1.1" 200 140427
0:0:0:0:0:0:0:1 - - [20/Apr/2022:13:12:42 +0530] "GET /BusinessTripRequest/css/sidebar-style.css HTTP/1.1" 200 3352
0:0:0:0:0:0:0:1 - - [20/Apr/2022:13:12:43 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [20/Apr/2022:13:13:07 +0530] "GET /BusinessTripRequest/user/user-trip-history.jsp HTTP/1.1" 200 6671
0:0:0:0:0:0:0:1 - - [20/Apr/2022:13:13:16 +0530] "GET /BusinessTripRequest/user/user-approved-request.jsp HTTP/1.1" 200 5988
0:0:0:0:0:0:0:1 - - [20/Apr/2022:13:13:19 +0530] "GET /BusinessTripRequest/user/user-pending-request.jsp HTTP/1.1" 200 4860
0:0:0:0:0:0:0:1 - - [20/Apr/2022:13:13:25 +0530] "GET /BusinessTripRequest/user/user-personal-detail.jsp HTTP/1.1" 200 13524
0:0:0:0:0:0:0:1 - - [20/Apr/2022:13:13:31 +0530] "GET /BusinessTripRequest/user/user-pending-request.jsp HTTP/1.1" 200 4860
0:0:0:0:0:0:0:1 - - [20/Apr/2022:13:13:44 +0530] "GET /BusinessTripRequest/user/user-trip-history.jsp HTTP/1.1" 200 6671
0:0:0:0:0:0:0:1 - - [20/Apr/2022:13:14:24 +0530] "GET /BusinessTripRequest/user/user-approved-request.jsp HTTP/1.1" 200 5988
0:0:0:0:0:0:0:1 - - [20/Apr/2022:13:14:28 +0530] "GET /BusinessTripRequest/user/user-pending-request.jsp HTTP/1.1" 200 4860
0:0:0:0:0:0:0:1 - - [20/Apr/2022:13:16:44 +0530] "GET /BusinessTripRequest/user/user-pending-request.jsp HTTP/1.1" 200 6670
0:0:0:0:0:0:0:1 - - [20/Apr/2022:13:16:51 +0530] "GET /BusinessTripRequest/user/user-approved-request.jsp HTTP/1.1" 200 7977
0:0:0:0:0:0:0:1 - - [20/Apr/2022:14:10:11 +0530] "GET /BusinessTripRequest/index.jsp HTTP/1.1" 200 1112
