127.0.0.1 - - [17/Apr/2022:12:34:49 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [17/Apr/2022:12:34:51 +0530] "GET /BusinessTripRequest/index.jsp HTTP/1.1" 200 845
0:0:0:0:0:0:0:1 - - [17/Apr/2022:12:34:51 +0530] "GET /BusinessTripRequest/css/login_style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Apr/2022:12:34:51 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [17/Apr/2022:12:34:53 +0530] "GET /BusinessTripRequest/user-dash.jsp HTTP/1.1" 200 5992
0:0:0:0:0:0:0:1 - - [17/Apr/2022:12:34:53 +0530] "GET /BusinessTripRequest/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Apr/2022:12:35:02 +0530] "GET /BusinessTripRequest/user-new-trip.jsp HTTP/1.1" 200 13303
0:0:0:0:0:0:0:1 - - [17/Apr/2022:12:41:24 +0530] "GET /BusinessTripRequest/user-pending-request.jsp HTTP/1.1" 200 5981
0:0:0:0:0:0:0:1 - - [17/Apr/2022:12:47:13 +0530] "GET /BusinessTripRequest/user-pending-request.jsp HTTP/1.1" 200 6459
0:0:0:0:0:0:0:1 - - [17/Apr/2022:12:47:38 +0530] "GET /BusinessTripRequest/user-pending-request.jsp HTTP/1.1" 200 6509
0:0:0:0:0:0:0:1 - - [17/Apr/2022:12:47:54 +0530] "GET /BusinessTripRequest/user-pending-request.jsp HTTP/1.1" 200 6509
0:0:0:0:0:0:0:1 - - [17/Apr/2022:12:47:57 +0530] "GET /BusinessTripRequest/user-pending-request.jsp HTTP/1.1" 200 6509
0:0:0:0:0:0:0:1 - - [17/Apr/2022:12:48:03 +0530] "GET /BusinessTripRequest/user-pending-request.jsp HTTP/1.1" 200 6472
0:0:0:0:0:0:0:1 - - [17/Apr/2022:12:48:10 +0530] "GET /BusinessTripRequest/user-pending-request.jsp HTTP/1.1" 200 6509
0:0:0:0:0:0:0:1 - - [17/Apr/2022:12:48:17 +0530] "GET /BusinessTripRequest/user-pending-request.jsp HTTP/1.1" 200 6481
