127.0.0.1 - - [16/Apr/2022:12:22:52 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [16/Apr/2022:12:23:37 +0530] "GET /BusinessTripRequest/index3.jsp HTTP/1.1" 200 9743
0:0:0:0:0:0:0:1 - - [16/Apr/2022:12:23:37 +0530] "GET /BusinessTripRequest/css/style3.css HTTP/1.1" 200 3162
0:0:0:0:0:0:0:1 - - [16/Apr/2022:12:23:38 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [16/Apr/2022:12:26:17 +0530] "GET /BusinessTripRequest/login.jsp HTTP/1.1" 200 759
0:0:0:0:0:0:0:1 - - [16/Apr/2022:12:26:17 +0530] "GET /BusinessTripRequest/css/login_style.css HTTP/1.1" 200 1653
0:0:0:0:0:0:0:1 - - [16/Apr/2022:12:27:01 +0530] "GET /BusinessTripRequest/user_dash.jsp HTTP/1.1" 200 9743
0:0:0:0:0:0:0:1 - - [16/Apr/2022:12:29:33 +0530] "GET /BusinessTripRequest/user_dash.jsp HTTP/1.1" 200 9568
0:0:0:0:0:0:0:1 - - [16/Apr/2022:12:29:34 +0530] "GET /BusinessTripRequest/css/style.css HTTP/1.1" 200 231378
0:0:0:0:0:0:0:1 - - [16/Apr/2022:12:31:48 +0530] "GET /BusinessTripRequest/user_dash.jsp HTTP/1.1" 200 9692
0:0:0:0:0:0:0:1 - - [16/Apr/2022:12:31:48 +0530] "GET /BusinessTripRequest/css/bootstrap.min.css HTTP/1.1" 200 155764
0:0:0:0:0:0:0:1 - - [16/Apr/2022:12:31:53 +0530] "GET /BusinessTripRequest/user_dash.jsp HTTP/1.1" 200 9692
0:0:0:0:0:0:0:1 - - [16/Apr/2022:12:32:16 +0530] "GET /BusinessTripRequest/user_dash.jsp HTTP/1.1" 200 9684
0:0:0:0:0:0:0:1 - - [16/Apr/2022:12:32:17 +0530] "GET /BusinessTripRequest/user_dash.jsp HTTP/1.1" 200 9684
0:0:0:0:0:0:0:1 - - [16/Apr/2022:12:32:24 +0530] "GET /BusinessTripRequest/user_dash.jsp HTTP/1.1" 200 9684
0:0:0:0:0:0:0:1 - - [16/Apr/2022:12:36:02 +0530] "GET /BusinessTripRequest/user_dash.jsp HTTP/1.1" 200 9568
0:0:0:0:0:0:0:1 - - [16/Apr/2022:12:40:25 +0530] "GET /BusinessTripRequest/user_dash.jsp HTTP/1.1" 200 9576
0:0:0:0:0:0:0:1 - - [16/Apr/2022:12:42:05 +0530] "GET /BusinessTripRequest/user_dash.jsp HTTP/1.1" 200 9583
0:0:0:0:0:0:0:1 - - [16/Apr/2022:12:42:05 +0530] "GET /BusinessTripRequest/css/sidebar-style.css HTTP/1.1" 200 3162
0:0:0:0:0:0:0:1 - - [16/Apr/2022:12:42:21 +0530] "GET /BusinessTripRequest/user_dash.jsp HTTP/1.1" 200 9583
0:0:0:0:0:0:0:1 - - [16/Apr/2022:12:46:48 +0530] "GET /BusinessTripRequest/user_dash.jsp HTTP/1.1" 200 9583
0:0:0:0:0:0:0:1 - - [16/Apr/2022:12:54:23 +0530] "GET /BusinessTripRequest/user_dash.jsp HTTP/1.1" 200 9555
0:0:0:0:0:0:0:1 - - [16/Apr/2022:12:54:34 +0530] "GET /BusinessTripRequest/user_dash.jsp HTTP/1.1" 200 9555
0:0:0:0:0:0:0:1 - - [16/Apr/2022:12:54:38 +0530] "GET /BusinessTripRequest/user_dash.jsp HTTP/1.1" 200 9555
0:0:0:0:0:0:0:1 - - [16/Apr/2022:12:54:44 +0530] "GET /BusinessTripRequest/user_dash.jsp HTTP/1.1" 200 9550
0:0:0:0:0:0:0:1 - - [16/Apr/2022:12:55:16 +0530] "GET /BusinessTripRequest/user_dash.jsp HTTP/1.1" 200 9550
0:0:0:0:0:0:0:1 - - [16/Apr/2022:12:55:19 +0530] "GET /BusinessTripRequest/user_dash.jsp HTTP/1.1" 200 9550
0:0:0:0:0:0:0:1 - - [16/Apr/2022:12:55:24 +0530] "GET /BusinessTripRequest/user_dash.jsp HTTP/1.1" 200 9543
0:0:0:0:0:0:0:1 - - [16/Apr/2022:12:55:40 +0530] "GET /BusinessTripRequest/user_dash.jsp HTTP/1.1" 200 9550
0:0:0:0:0:0:0:1 - - [16/Apr/2022:12:57:06 +0530] "GET /BusinessTripRequest/user_dash.jsp HTTP/1.1" 200 9550
0:0:0:0:0:0:0:1 - - [16/Apr/2022:12:57:34 +0530] "GET /BusinessTripRequest/user_dash.jsp HTTP/1.1" 200 9550
0:0:0:0:0:0:0:1 - - [16/Apr/2022:12:57:41 +0530] "GET /BusinessTripRequest/user_dash.jsp HTTP/1.1" 200 6927
0:0:0:0:0:0:0:1 - - [16/Apr/2022:12:59:04 +0530] "GET /BusinessTripRequest/user_dash.jsp HTTP/1.1" 200 6474
0:0:0:0:0:0:0:1 - - [16/Apr/2022:12:59:57 +0530] "GET /BusinessTripRequest/user_dash.jsp HTTP/1.1" 200 6474
0:0:0:0:0:0:0:1 - - [16/Apr/2022:13:00:03 +0530] "GET /BusinessTripRequest/user_dash.jsp HTTP/1.1" 200 6460
0:0:0:0:0:0:0:1 - - [16/Apr/2022:13:00:33 +0530] "GET /BusinessTripRequest/user_dash.jsp HTTP/1.1" 200 6469
0:0:0:0:0:0:0:1 - - [16/Apr/2022:13:01:07 +0530] "GET /BusinessTripRequest/user_dash.jsp HTTP/1.1" 200 6467
0:0:0:0:0:0:0:1 - - [16/Apr/2022:13:01:29 +0530] "GET /BusinessTripRequest/user_dash.jsp HTTP/1.1" 200 6454
