0:0:0:0:0:0:0:1 - - [21/Apr/2022:16:37:39 +0530] "GET /BusinessTripRequest/admin/approve-request.jsp?tid=18&accept= HTTP/1.1" 200 273
0:0:0:0:0:0:0:1 - - [21/Apr/2022:16:37:51 +0530] "GET /BusinessTripRequest/admin/admin-pending-request.jsp HTTP/1.1" 200 6057
0:0:0:0:0:0:0:1 - - [21/Apr/2022:16:39:10 +0530] "GET /BusinessTripRequest/admin/admin-approved-request.jsp HTTP/1.1" 200 7859
0:0:0:0:0:0:0:1 - - [21/Apr/2022:16:39:50 +0530] "GET /BusinessTripRequest/admin/all-employee.jsp HTTP/1.1" 200 6847
0:0:0:0:0:0:0:1 - - [21/Apr/2022:16:40:21 +0530] "GET /BusinessTripRequest/admin/admin-pending-request.jsp HTTP/1.1" 200 6057
0:0:0:0:0:0:0:1 - - [21/Apr/2022:16:41:00 +0530] "GET /BusinessTripRequest/index.jsp HTTP/1.1" 200 1400
0:0:0:0:0:0:0:1 - - [21/Apr/2022:16:41:15 +0530] "POST /BusinessTripRequest/login.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Apr/2022:16:41:19 +0530] "GET /BusinessTripRequest/admin/admin-pending-request.jsp HTTP/1.1" 200 10063
0:0:0:0:0:0:0:1 - - [21/Apr/2022:16:42:02 +0530] "GET /BusinessTripRequest/admin/approve-request.jsp?tid=18&accept= HTTP/1.1" 200 273
0:0:0:0:0:0:0:1 - - [21/Apr/2022:16:42:11 +0530] "GET /BusinessTripRequest/admin/admin-pending-request.jsp HTTP/1.1" 200 6056
0:0:0:0:0:0:0:1 - - [21/Apr/2022:16:42:37 +0530] "GET /BusinessTripRequest/admin/admin-approved-request.jsp HTTP/1.1" 200 7858
0:0:0:0:0:0:0:1 - - [21/Apr/2022:16:42:57 +0530] "GET /BusinessTripRequest/admin/all-employee.jsp HTTP/1.1" 200 6846
0:0:0:0:0:0:0:1 - - [21/Apr/2022:16:43:15 +0530] "GET /BusinessTripRequest/index.jsp HTTP/1.1" 200 1400
0:0:0:0:0:0:0:1 - - [21/Apr/2022:16:43:27 +0530] "POST /BusinessTripRequest/login.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Apr/2022:16:43:29 +0530] "GET /BusinessTripRequest/admin/admin-pending-request.jsp HTTP/1.1" 200 10063
0:0:0:0:0:0:0:1 - - [21/Apr/2022:16:44:13 +0530] "GET /BusinessTripRequest/admin/approve-request.jsp?tid=18&accept= HTTP/1.1" 200 273
0:0:0:0:0:0:0:1 - - [21/Apr/2022:16:44:20 +0530] "GET /BusinessTripRequest/admin/admin-pending-request.jsp HTTP/1.1" 200 6056
0:0:0:0:0:0:0:1 - - [21/Apr/2022:16:44:41 +0530] "GET /BusinessTripRequest/admin/admin-approved-request.jsp HTTP/1.1" 200 7858
0:0:0:0:0:0:0:1 - - [21/Apr/2022:16:45:08 +0530] "GET /BusinessTripRequest/admin/all-employee.jsp HTTP/1.1" 200 6846
0:0:0:0:0:0:0:1 - - [21/Apr/2022:16:49:33 +0530] "GET /BusinessTripRequest/index.jsp HTTP/1.1" 200 1400
0:0:0:0:0:0:0:1 - - [21/Apr/2022:16:50:48 +0530] "POST /BusinessTripRequest/login.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Apr/2022:16:50:50 +0530] "GET /BusinessTripRequest/user/user-personal-detail.jsp HTTP/1.1" 200 13586
0:0:0:0:0:0:0:1 - - [21/Apr/2022:16:53:43 +0530] "GET /BusinessTripRequest/user/user-new-trip.jsp HTTP/1.1" 200 13773
0:0:0:0:0:0:0:1 - - [21/Apr/2022:16:56:00 +0530] "GET /BusinessTripRequest/user/newtravel.jsp?purpose=4&dtcountry=India&ddate=2022-05-03&rdate=2022-05-18&ecost=30000&advance=15000&d_addr=Raopura+Street&dcity=Vadodara&dcountry=India&postal=380006&accomodation=no&currency=INR HTTP/1.1" 200 282
0:0:0:0:0:0:0:1 - - [21/Apr/2022:16:56:06 +0530] "GET /BusinessTripRequest/user/user-new-trip.jsp HTTP/1.1" 200 13773
0:0:0:0:0:0:0:1 - - [21/Apr/2022:16:58:00 +0530] "GET /BusinessTripRequest/user/newtravel.jsp?purpose=3&dtcountry=India&ddate=2022-06-01&rdate=2022-06-07&ecost=10000&advance=5000&d_addr=Alkapuri+&dcity=Surat&dcountry=India&postal=398765&accomodation=yes&currency=INR HTTP/1.1" 200 282
0:0:0:0:0:0:0:1 - - [21/Apr/2022:16:58:05 +0530] "GET /BusinessTripRequest/user/user-new-trip.jsp HTTP/1.1" 200 13773
0:0:0:0:0:0:0:1 - - [21/Apr/2022:16:58:17 +0530] "GET /BusinessTripRequest/user/user-pending-request.jsp HTTP/1.1" 200 9477
0:0:0:0:0:0:0:1 - - [21/Apr/2022:16:59:32 +0530] "GET /BusinessTripRequest/user/user-approved-request.jsp HTTP/1.1" 200 8028
0:0:0:0:0:0:0:1 - - [21/Apr/2022:16:59:47 +0530] "GET /BusinessTripRequest/user/user-rejected-request.jsp HTTP/1.1" 200 4935
0:0:0:0:0:0:0:1 - - [21/Apr/2022:17:00:04 +0530] "GET /BusinessTripRequest/index.jsp HTTP/1.1" 200 1400
0:0:0:0:0:0:0:1 - - [21/Apr/2022:17:00:15 +0530] "POST /BusinessTripRequest/login.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Apr/2022:17:00:18 +0530] "GET /BusinessTripRequest/admin/admin-pending-request.jsp HTTP/1.1" 200 14054
0:0:0:0:0:0:0:1 - - [21/Apr/2022:17:01:19 +0530] "GET /BusinessTripRequest/admin/reject-request.jsp?tid=20 HTTP/1.1" 200 266
0:0:0:0:0:0:0:1 - - [21/Apr/2022:17:01:28 +0530] "GET /BusinessTripRequest/admin/admin-pending-request.jsp HTTP/1.1" 200 10065
0:0:0:0:0:0:0:1 - - [21/Apr/2022:17:01:42 +0530] "GET /BusinessTripRequest/index.jsp HTTP/1.1" 200 1400
0:0:0:0:0:0:0:1 - - [21/Apr/2022:17:01:52 +0530] "POST /BusinessTripRequest/login.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Apr/2022:17:01:55 +0530] "GET /BusinessTripRequest/user/user-personal-detail.jsp HTTP/1.1" 200 13586
0:0:0:0:0:0:0:1 - - [21/Apr/2022:17:02:02 +0530] "GET /BusinessTripRequest/user/user-rejected-request.jsp HTTP/1.1" 200 6762
0:0:0:0:0:0:0:1 - - [21/Apr/2022:17:02:48 +0530] "GET /BusinessTripRequest/index.jsp HTTP/1.1" 200 1400
